time,cell,pdu,measured_power_util,production_power_util
813900000000,a,pdu6,0.7550,0.6250
813300000000,a,pdu6,0.7430,0.6250
1240200000000,a,pdu6,0.7370,0.6250
1680600000000,a,pdu6,0.7420,0.6250
805500000000,a,pdu6,0.7650,0.6250
825900000000,a,pdu6,0.7590,0.6250
1245900000000,a,pdu6,0.7470,0.6250
1239900000000,a,pdu6,0.7410,0.6250
804300000000,a,pdu6,0.7700,0.6250
804000000000,a,pdu6,0.7700,0.6250
1238700000000,a,pdu6,0.7280,0.6250
808800000000,a,pdu6,0.7570,0.6250
809400000000,a,pdu6,0.7570,0.6250
812400000000,a,pdu6,0.7510,0.6250
1243200000000,a,pdu6,0.7450,0.6250
1671300000000,a,pdu6,0.7450,0.6250
810300000000,a,pdu6,0.7620,0.6250
811500000000,a,pdu6,0.7560,0.6250
1070700000000,a,pdu6,0.7500,0.6190
1067700000000,a,pdu6,0.7500,0.6190
723600000000,a,pdu6,0.7500,0.6190
2037600000000,a,pdu6,0.7440,0.6190
1251900000000,a,pdu6,0.7440,0.6190
738000000000,a,pdu6,0.7440,0.6190
2041500000000,a,pdu6,0.7380,0.6190
1249500000000,a,pdu6,0.7380,0.6190
1244700000000,a,pdu6,0.7380,0.6190
2027700000000,a,pdu6,0.7320,0.6190
2028900000000,a,pdu6,0.7320,0.6190
720000000000,a,pdu6,0.7260,0.6190
745200000000,a,pdu6,0.7610,0.6190
824100000000,a,pdu6,0.7610,0.6190
741000000000,a,pdu6,0.7550,0.6190
797100000000,a,pdu6,0.7550,0.6190
735900000000,a,pdu6,0.7550,0.6190
1259400000000,a,pdu6,0.7550,0.6190
1257000000000,a,pdu6,0.7490,0.6190
752100000000,a,pdu6,0.7490,0.6190
802500000000,a,pdu6,0.7490,0.6190
1246200000000,a,pdu6,0.7490,0.6190
2037000000000,a,pdu6,0.7430,0.6190
1250700000000,a,pdu6,0.7430,0.6190
2037900000000,a,pdu6,0.7430,0.6190
1938000000000,a,pdu6,0.7430,0.6190
1856700000000,a,pdu6,0.7370,0.6190
2024700000000,a,pdu6,0.7370,0.6190
720300000000,a,pdu6,0.7250,0.6190
741900000000,a,pdu6,0.7600,0.6190
1253700000000,a,pdu6,0.7540,0.6190
797700000000,a,pdu6,0.7540,0.6190
797400000000,a,pdu6,0.7540,0.6190
812100000000,a,pdu6,0.7540,0.6190
1259100000000,a,pdu6,0.7540,0.6190
740700000000,a,pdu6,0.7540,0.6190
1246500000000,a,pdu6,0.7480,0.6190
2036400000000,a,pdu6,0.7420,0.6190
2032200000000,a,pdu6,0.7420,0.6190
640500000000,a,pdu6,0.7360,0.6190
719700000000,a,pdu6,0.7300,0.6190
2007000000000,a,pdu6,0.7180,0.6190
2021400000000,a,pdu6,0.7120,0.6190
2021700000000,a,pdu6,0.7120,0.6190
804600000000,a,pdu6,0.7710,0.6190
828000000000,a,pdu6,0.7590,0.6190
729000000000,a,pdu6,0.7530,0.6190
735600000000,a,pdu6,0.7530,0.6190
740100000000,a,pdu6,0.7530,0.6190
1070400000000,a,pdu6,0.7470,0.6190
1255800000000,a,pdu6,0.7470,0.6190
1251600000000,a,pdu6,0.7470,0.6190
801300000000,a,pdu6,0.7410,0.6190
2038200000000,a,pdu6,0.7410,0.6190
2034300000000,a,pdu6,0.7410,0.6190
738300000000,a,pdu6,0.7410,0.6190
641400000000,a,pdu6,0.7350,0.6190
1855200000000,a,pdu6,0.7350,0.6190
1856100000000,a,pdu6,0.7350,0.6190
831900000000,a,pdu6,0.7580,0.6190
717600000000,a,pdu6,0.7580,0.6190
728700000000,a,pdu6,0.7520,0.6190
796800000000,a,pdu6,0.7520,0.6190
811800000000,a,pdu6,0.7520,0.6190
730800000000,a,pdu6,0.7520,0.6190
1256700000000,a,pdu6,0.7460,0.6190
2031000000000,a,pdu6,0.7400,0.6190
